attendance_id,student_id,course_id,teacher_id,attendance_date,status,remarks,created_at
AT0000001,S001201,C00010,T00168,2025-10-19,Late,Absent Without Notice,2026-08-08 12:40:14.385
AT0000003,S000082,C00097,T00191,2025-01-19,Present,,2026-08-08 12:40:14.386
AT0000004,S001623,C00044,T00201,2025-11-12,Present,,2026-08-08 12:40:14.386
AT0000005,S000407,C00059,T00300,2025-05-06,Present,,2026-08-08 12:40:14.386
AT0000007,S001388,C00129,T00031,2025-04-08,Present,,2026-08-08 12:40:14.386
AT0000009,S001340,C00115,T00092,2025-09-11,Present,,2026-08-08 12:40:14.386
AT0000010,S001062,C00095,T00291,2025-02-26,Present,,2026-08-08 12:40:14.386
AT0000011,S000818,C00021,T00115,2025-04-04,Present,,2026-08-08 12:40:14.386
AT0000012,S001247,C00117,T00041,2025-03-23,Present,,2026-08-08 12:40:14.386
AT0000013,S001636,C00119,T00150,2025-12-20,Present,,2026-08-08 12:40:14.386
AT0000014,S000691,C00081,T00078,2025-07-04,Present,,2026-08-08 12:40:14.386
AT0000015,S001076,C00004,T00237,2025-06-26,Absent,Absent Without Notice,2026-08-08 12:40:14.386
AT0000016,S000994,C00017,T00048,2025-05-31,Present,,2026-08-08 12:40:14.386
AT0000017,S000677,C00133,T00103,2025-06-22,Present,,2026-08-08 12:40:14.386
AT0000018,S000186,C00089,T00208,2025-02-20,Absent,Late Arrival,2026-08-08 12:40:14.386
AT0000019,S001691,C00020,T00034,2025-04-20,Present,,2026-08-08 12:40:14.386
AT0000020,S000313,C00003,T00220,2025-06-23,Present,,2026-08-08 12:40:14.386
AT0000021,S000582,C00065,T00244,2025-01-14,Present,,2026-08-08 12:40:14.386
AT0000022,S000298,C00118,T00235,2025-08-01,Present,,2026-08-08 12:40:14.386
AT0000023,S001385,C00056,T00017,2025-05-21,Present,,2026-08-08 12:40:14.386
AT0000024,S000091,C00070,T00191,2025-02-01,Present,,2026-08-08 12:40:14.386
AT0000025,S001615,C00055,T00228,2025-04-01,Present,,2026-08-08 12:40:14.386
AT0000026,S001996,C00068,T00067,2025-10-12,Present,,2026-08-08 12:40:14.386
AT0000027,S001207,C00077,T00274,2025-04-10,Present,,2026-08-08 12:40:14.386
AT0000028,S000619,C00136,T00274,2025-05-04,Present,,2026-08-08 12:40:14.386
AT0000029,S001296,C00092,T00062,2025-12-10,Late,Absent Without Notice,2026-08-08 12:40:14.386
AT0000030,S000867,C00056,T00017,2025-02-19,Present,,2026-08-08 12:40:14.386
AT0000031,S000993,C00065,T00244,2025-09-16,Present,,2026-08-08 12:40:14.386
AT0000032,S002000,C00108,T00050,2025-12-01,Present,,2026-08-08 12:40:14.386
AT0000033,S001037,C00055,T00228,2025-05-25,Leave,Late Arrival,2026-08-08 12:40:14.386
AT0000034,S000169,C00074,T00234,2025-10-03,Present,,2026-08-08 12:40:14.386
AT0000035,S000731,C00034,T00188,2025-11-29,Present,,2026-08-08 12:40:14.386
AT0000036,S000640,C00015,T00109,2025-06-28,Leave,Absent Without Notice,2026-08-08 12:40:14.386
AT0000037,S000314,C00015,T00109,2025-03-13,Late,Absent Without Notice,2026-08-08 12:40:14.386
AT0000038,S001868,C00093,T00224,2025-08-07,Absent,,2026-08-08 12:40:14.386
AT0000039,S001278,C00114,T00031,2025-08-03,Late,Absent Without Notice,2026-08-08 12:40:14.386
AT0000040,S000299,C00054,T00130,2025-10-08,Present,,2026-08-08 12:40:14.386
