result_id,student_id,course_id,teacher_id,marks_obtained,total_marks,percentage,grade,status,semester,exam_type,remarks,created_at
R0000002,S001220,C00086,T00172,83.0,100.0,83.0,B+,Pass,7,Assignment,Average Performance,2026-08-08 12:42:34.517
R0000003,S000840,C00041,T00036,16.0,30.0,53.33,D,Pass,3,Assignment,Excellent,2026-08-08 12:42:34.517
R0000004,S000556,C00141,T00199,19.0,50.0,38.0,F,Fail,2,Mid,Needs Improvement,2026-08-08 12:42:34.517
R0000005,S000808,C00077,T00274,13.0,20.0,65.0,C,Pass,1,Mid,Average Performance,2026-08-08 12:42:34.517
R0000006,S000950,C00135,T00280,33.0,50.0,66.0,C,Pass,1,Final,Excellent,2026-08-08 12:42:34.517
R0000007,S001117,C00113,T00220,64.0,100.0,64.0,C,Pass,1,Quiz,Average Performance,2026-08-08 12:42:34.517
R0000008,S001430,C00142,T00030,31.0,50.0,62.0,C,Pass,3,Assignment,Average Performance,2026-08-08 12:42:34.517
R0000009,S000097,C00119,T00150,11.0,20.0,55.0,D,Pass,8,Quiz,Needs Improvement,2026-08-08 12:42:34.517
R0000010,S000361,C00091,T00201,16.0,50.0,32.0,F,Fail,5,Final,,2026-08-08 12:42:34.517
R0000011,S001523,C00050,T00025,35.0,100.0,35.0,F,Fail,5,Assignment,Average Performance,2026-08-08 12:42:34.517
R0000012,S001144,C00016,T00158,28.0,100.0,28.0,F,Fail,1,Assignment,Excellent,2026-08-08 12:42:34.517
R0000013,S000631,C00136,T00274,22.0,30.0,73.33,C+,Pass,7,Final,Excellent,2026-08-08 12:42:34.517
R0000014,S000739,C00067,T00290,17.0,50.0,34.0,F,Fail,8,Final,Average Performance,2026-08-08 12:42:34.517
R0000015,S000912,C00084,T00069,16.0,20.0,80.0,B+,Pass,5,Quiz,Average Performance,2026-08-08 12:42:34.517
R0000016,S000755,C00090,T00240,13.0,20.0,65.0,C,Pass,5,Assignment,Needs Improvement,2026-08-08 12:42:34.517
R0000017,S001413,C00008,T00063,29.0,50.0,58.0,D,Pass,5,Final,Average Performance,2026-08-08 12:42:34.517
R0000018,S001272,C00063,T00010,20.0,20.0,100.0,A+,Pass,2,Assignment,,2026-08-08 12:42:34.517
R0000019,S000459,C00150,T00001,10.0,30.0,33.33,F,Fail,1,Quiz,,2026-08-08 12:42:34.517
R0000020,S001608,C00105,T00093,31.0,50.0,62.0,C,Pass,8,Final,Excellent,2026-08-08 12:42:34.517
R0000021,S000415,C00136,T00274,73.0,100.0,73.0,C+,Pass,7,Quiz,Excellent,2026-08-08 12:42:34.517
R0000022,S001258,C00019,T00128,7.0,20.0,35.0,F,Fail,6,Final,Excellent,2026-08-08 12:42:34.517
R0000023,S001191,C00059,T00300,91.0,100.0,91.0,A+,Pass,8,Assignment,Average Performance,2026-08-08 12:42:34.517
R0000024,S001444,C00023,T00224,13.0,50.0,26.0,F,Fail,8,Assignment,,2026-08-08 12:42:34.517
R0000025,S001608,C00103,T00160,78.0,100.0,78.0,B,Pass,8,Assignment,Average Performance,2026-08-08 12:42:34.517
R0000026,S000717,C00007,T00014,30.0,30.0,100.0,A+,Pass,8,Quiz,Excellent,2026-08-08 12:42:34.517
R0000027,S000129,C00060,T00075,7.0,20.0,35.0,F,Fail,1,Final,,2026-08-08 12:42:34.517
R0000028,S001475,C00014,T00219,11.0,20.0,55.0,D,Pass,3,Quiz,,2026-08-08 12:42:34.517
R0000029,S000480,C00059,T00300,82.0,100.0,82.0,B+,Pass,8,Final,Excellent,2026-08-08 12:42:34.517
R0000030,S001574,C00112,T00084,18.0,20.0,90.0,A+,Pass,4,Assignment,Needs Improvement,2026-08-08 12:42:34.517
R0000031,S000724,C00025,T00004,10.0,20.0,50.0,D,Pass,6,Mid,Excellent,2026-08-08 12:42:34.518
R0000032,S001565,C00125,T00073,10.0,30.0,33.33,F,Fail,2,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000033,S001664,C00071,T00233,19.0,50.0,38.0,F,Fail,6,Mid,Average Performance,2026-08-08 12:42:34.518
R0000034,S001469,C00136,T00274,98.0,100.0,98.0,A+,Pass,7,Quiz,Average Performance,2026-08-08 12:42:34.518
R0000035,S000434,C00085,T00080,28.0,100.0,28.0,F,Fail,6,Quiz,Excellent,2026-08-08 12:42:34.518
R0000036,S001133,C00128,T00197,50.0,50.0,100.0,A+,Pass,6,Quiz,Excellent,2026-08-08 12:42:34.518
R0000037,S001202,C00007,T00014,15.0,30.0,50.0,D,Pass,8,Quiz,Average Performance,2026-08-08 12:42:34.518
R0000038,S000762,C00024,T00043,58.0,100.0,58.0,D,Pass,7,Mid,Excellent,2026-08-08 12:42:34.518
R0000039,S000462,C00056,T00017,21.0,50.0,42.0,F,Fail,8,Assignment,Needs Improvement,2026-08-08 12:42:34.518
R0000040,S000802,C00002,T00001,17.0,50.0,34.0,F,Fail,7,Mid,Excellent,2026-08-08 12:42:34.518
R0000041,S000754,C00044,T00201,33.0,50.0,66.0,C,Pass,4,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000042,S001254,C00089,T00208,9.0,20.0,45.0,F,Fail,4,Assignment,Needs Improvement,2026-08-08 12:42:34.518
R0000043,S000630,C00140,T00187,70.0,100.0,70.0,C+,Pass,4,Quiz,,2026-08-08 12:42:34.518
R0000044,S001807,C00143,T00114,94.0,100.0,94.0,A+,Pass,5,Quiz,,2026-08-08 12:42:34.518
R0000045,S001159,C00146,T00238,47.0,100.0,47.0,F,Fail,8,Assignment,Needs Improvement,2026-08-08 12:42:34.518
R0000046,S001331,C00021,T00115,18.0,30.0,60.0,C,Pass,5,Quiz,Excellent,2026-08-08 12:42:34.518
R0000047,S001367,C00058,T00187,17.0,20.0,85.0,A,Pass,4,Assignment,,2026-08-08 12:42:34.518
R0000048,S000504,C00038,T00086,32.0,50.0,64.0,C,Pass,7,Mid,Needs Improvement,2026-08-08 12:42:34.518
R0000049,S000623,C00065,T00244,29.0,100.0,29.0,F,Fail,3,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000050,S001103,C00131,T00111,71.0,100.0,71.0,C+,Pass,5,Mid,,2026-08-08 12:42:34.518
R0000051,S001458,C00047,T00154,6.0,20.0,30.0,F,Fail,3,Assignment,Average Performance,2026-08-08 12:42:34.518
R0000052,S000477,C00027,T00286,20.0,20.0,100.0,A+,Pass,2,Mid,,2026-08-08 12:42:34.518
