department,semester,students_enrolled,teacher_count,previous_demand,course_demand
Data Science,8,127,6,254,Medium
Computer Science,6,140,10,30,Low
Software Engineering,3,86,13,31,Low
Software Engineering,3,116,5,119,Low
Software Engineering,1,225,2,178,Medium
Information Technology,3,22,13,36,Low
Software Engineering,3,114,8,167,Low
Artificial Intelligence,7,249,6,133,Medium
Data Science,6,134,10,73,Low
Information Technology,7,84,14,67,Low
Data Science,8,133,3,108,Low
Information Technology,1,134,6,235,Medium
Computer Science,2,138,5,115,Low
Computer Science,2,196,7,287,Medium
Software Engineering,2,95,6,140,Low
Artificial Intelligence,2,133,4,110,Low
Data Science,1,57,14,34,Low
Information Technology,7,69,14,98,Low
Software Engineering,7,104,8,297,Medium
Artificial Intelligence,5,80,8,202,Low
Information Technology,1,294,11,76,Medium
Computer Science,1,119,11,46,Low
Computer Science,7,157,11,241,Medium
Data Science,8,222,9,76,Low
Computer Science,3,109,4,183,Medium
Information Technology,7,106,9,73,Low
Artificial Intelligence,7,245,15,287,Medium
Software Engineering,2,231,7,73,Medium
Data Science,3,29,3,124,Low
Data Science,3,155,13,148,Low
Information Technology,8,33,12,227,Low
Data Science,7,223,5,212,Medium
Data Science,1,203,9,86,Low
Artificial Intelligence,4,48,4,245,Medium
Software Engineering,8,154,10,215,Medium
Information Technology,2,144,8,282,Medium
Data Science,7,104,3,22,Low
Artificial Intelligence,4,67,4,153,Low
Software Engineering,1,133,15,292,Medium
Artificial Intelligence,6,55,3,176,Low
Computer Science,3,81,12,60,Low
Information Technology,8,135,13,251,Medium
Data Science,4,108,11,34,Low
Software Engineering,3,224,10,28,Low
Software Engineering,2,105,14,23,Low
Artificial Intelligence,3,247,12,234,Medium
Information Technology,5,87,10,178,Low
Artificial Intelligence,8,31,6,184,Low
Computer Science,2,252,3,295,High
Information Technology,8,181,4,90,Medium
Information Technology,5,65,15,163,Low
Computer Science,3,51,4,137,Low
Software Engineering,6,202,6,30,Low
Software Engineering,7,85,5,84,Low
Information Technology,8,109,6,25,Low
Artificial Intelligence,2,197,8,148,Medium
Artificial Intelligence,6,262,12,132,Medium
Computer Science,1,150,15,299,Medium
Information Technology,4,163,7,271,Medium
Software Engineering,6,153,11,289,Medium
Software Engineering,1,27,3,151,Low
Artificial Intelligence,3,266,6,261,High
Computer Science,3,93,6,180,Low
Information Technology,5,295,7,257,High
Artificial Intelligence,3,105,6,183,Low
Software Engineering,6,268,8,98,Medium
Artificial Intelligence,5,84,6,142,Low
Information Technology,1,288,13,242,Medium
Artificial Intelligence,7,283,4,220,High
Information Technology,2,248,7,235,High
Information Technology,4,176,3,21,Low
Artificial Intelligence,5,207,11,300,Medium
Artificial Intelligence,4,43,6,260,Low
Data Science,8,70,11,164,Low
Artificial Intelligence,3,256,5,181,Medium
Artificial Intelligence,6,51,10,226,Low
Data Science,3,133,4,76,Low
Data Science,8,47,3,87,Low
Information Technology,7,60,4,293,Medium
Software Engineering,3,45,4,231,Low
Data Science,5,197,13,238,Medium
Artificial Intelligence,7,291,8,115,Medium
Information Technology,1,29,10,180,Low
Data Science,4,275,12,59,Medium
Artificial Intelligence,8,106,7,136,Low
Software Engineering,8,278,4,78,Medium
Information Technology,1,194,12,258,Medium
Information Technology,1,280,12,66,Medium
Information Technology,7,83,4,176,Low
Software Engineering,7,300,4,241,High
Artificial Intelligence,8,107,13,123,Low
Information Technology,5,225,4,228,High
Computer Science,8,53,9,107,Low
Information Technology,4,79,9,280,Medium
Data Science,5,152,14,237,Medium
Information Technology,2,247,4,96,Medium
Artificial Intelligence,2,238,7,192,Medium
Computer Science,5,271,3,193,High
Data Science,1,174,13,100,Low
Artificial Intelligence,1,269,14,224,Medium
Data Science,6,228,13,169,Medium
Artificial Intelligence,8,28,6,120,Low
Computer Science,4,264,14,184,Medium
Data Science,3,297,13,214,Medium
Data Science,1,132,3,102,Low
Artificial Intelligence,6,160,14,284,Medium
Information Technology,7,26,7,112,Low
Software Engineering,3,29,12,137,Low
Artificial Intelligence,6,87,4,282,Medium
Computer Science,3,94,3,156,Low
Software Engineering,8,272,4,139,Medium
Information Technology,5,223,13,153,Medium
Data Science,7,189,9,40,Low
Computer Science,5,51,10,165,Low
Data Science,3,85,3,207,Medium
Artificial Intelligence,7,118,14,161,Low
Information Technology,3,158,14,241,Medium
Information Technology,7,137,13,120,Low
Data Science,7,104,14,128,Low
Information Technology,8,101,4,269,Medium
Information Technology,1,102,14,266,Low
Software Engineering,5,160,8,181,Medium
Information Technology,7,241,10,108,Medium
Data Science,5,142,2,278,Medium
Information Technology,5,176,10,280,Medium
Software Engineering,6,155,3,126,Medium
