student_id,department,semester,attendance,cgpa,assignment_marks,quiz_marks,mid_marks,final_marks,dropout_risk,result
ST0001,Information Technology,2,65,2.96,13,6,29,68,Low,Fail
ST0002,Data Science,4,65,2.38,13,5,31,67,Medium,Fail
ST0003,Artificial Intelligence,4,65,2.98,12,8,35,53,Low,Fail
ST0004,Data Science,1,97,3.28,18,10,44,100,Low,Pass
ST0005,Software Engineering,1,77,2.37,14,7,31,67,Low,Fail
ST0006,Artificial Intelligence,3,42,2.18,6,5,24,34,High,Fail
ST0007,Artificial Intelligence,7,73,2.92,11,6,32,50,Medium,Fail
ST0008,Data Science,6,60,2.04,8,4,20,27,Medium,Fail
ST0009,Data Science,8,91,3.93,20,10,45,81,Low,Pass
ST0010,Information Technology,7,60,1.86,9,3,23,43,High,Fail
ST0011,Software Engineering,2,72,3.19,12,8,27,69,Low,Fail
ST0012,Computer Science,1,78,2.83,16,8,39,61,Medium,Pass
ST0013,Computer Science,8,82,2.97,15,5,34,58,Low,Pass
ST0014,Artificial Intelligence,3,63,1.71,7,2,30,29,Medium,Fail
ST0015,Artificial Intelligence,6,57,2.25,5,4,27,20,Medium,Fail
ST0016,Software Engineering,3,92,3.9,16,8,47,77,Low,Pass
ST0017,Artificial Intelligence,7,82,2.45,16,6,31,67,Medium,Fail
ST0018,Information Technology,4,81,2.7,13,6,27,55,Low,Pass
ST0019,Computer Science,6,87,3.77,16,8,41,76,Low,Pass
ST0020,Software Engineering,7,73,2.9,13,6,40,52,Medium,Fail
ST0021,Computer Science,2,98,3.48,19,9,40,96,Low,Pass
ST0022,Data Science,3,75,3.01,11,6,31,51,Medium,Pass
ST0023,Information Technology,1,99,3.4,16,9,48,78,Low,Pass
ST0024,Data Science,4,42,2.23,8,3,26,35,High,Fail
ST0025,Software Engineering,8,45,1.8,11,4,27,29,High,Fail
ST0026,Computer Science,6,91,3.97,20,10,48,76,Low,Pass
ST0027,Software Engineering,2,100,3.6,20,8,40,91,Low,Pass
ST0028,Information Technology,4,87,3.74,17,9,41,93,Low,Pass
ST0029,Artificial Intelligence,4,84,2.37,15,7,31,66,Medium,Fail
ST0030,Information Technology,2,74,2.71,11,5,39,64,Low,Fail
ST0031,Software Engineering,5,93,3.31,18,8,43,86,Low,Pass
ST0032,Computer Science,5,82,2.93,10,7,28,73,Low,Pass
ST0033,Artificial Intelligence,4,63,1.94,9,4,29,26,High,Fail
ST0034,Computer Science,1,73,3.11,10,5,38,71,Medium,Fail
ST0035,Computer Science,1,69,2.87,14,6,39,62,Medium,Fail
ST0036,Software Engineering,7,89,3.64,18,10,48,79,Low,Pass
ST0037,Computer Science,4,96,3.92,16,9,43,96,Low,Pass
ST0038,Data Science,3,82,3.09,16,6,32,72,Low,Pass
ST0039,Computer Science,3,95,3.83,19,10,43,83,Low,Pass
ST0040,Software Engineering,4,66,3.06,13,6,39,56,Medium,Fail
ST0041,Information Technology,7,91,3.52,18,8,44,86,Low,Pass
ST0042,Artificial Intelligence,7,65,2.4,14,6,33,46,Low,Fail
ST0043,Computer Science,7,75,2.69,11,8,31,53,Low,Pass
ST0044,Computer Science,6,82,2.91,13,7,38,47,Medium,Pass
ST0045,Software Engineering,3,74,2.75,16,7,37,67,Medium,Fail
ST0046,Artificial Intelligence,5,77,2.9,12,7,37,62,Low,Pass
ST0047,Software Engineering,8,95,3.57,19,10,43,91,Low,Pass
ST0048,Software Engineering,4,74,2.76,15,5,32,66,Medium,Fail
ST0049,Information Technology,7,86,3.4,19,10,41,89,Low,Pass
ST0050,Computer Science,1,97,3.6,17,8,50,97,Low,Pass
ST0051,Software Engineering,8,47,1.64,12,2,28,27,Medium,Fail
ST0052,Software Engineering,8,61,1.92,10,5,29,43,High,Fail
ST0053,Data Science,5,80,2.7,13,7,40,65,Low,Pass
ST0054,Software Engineering,3,94,3.39,18,9,48,77,Low,Pass
ST0055,Data Science,8,89,3.77,16,9,46,85,Low,Pass
ST0056,Data Science,7,98,3.51,20,10,40,99,Low,Pass
ST0057,Data Science,4,96,3.44,19,9,48,98,Low,Pass
ST0058,Software Engineering,7,98,3.59,19,9,50,96,Low,Pass
ST0059,Data Science,2,44,2.27,5,5,29,38,Medium,Fail
ST0060,Artificial Intelligence,8,99,3.35,18,9,45,81,Low,Pass
ST0061,Artificial Intelligence,1,77,2.55,16,7,27,60,Low,Pass
ST0062,Information Technology,1,87,3.82,16,8,43,81,Low,Pass
ST0063,Artificial Intelligence,5,89,3.58,16,10,43,89,Low,Pass
ST0064,Artificial Intelligence,1,88,3.82,17,9,41,93,Low,Pass
ST0065,Information Technology,2,77,2.65,13,5,32,48,Medium,Pass
ST0066,Data Science,1,51,1.92,10,2,28,40,High,Fail
ST0067,Information Technology,5,43,1.84,10,5,22,33,Medium,Fail
ST0068,Computer Science,4,57,2.11,12,5,29,28,High,Fail
ST0069,Artificial Intelligence,7,99,3.4,19,10,49,96,Low,Pass
ST0070,Information Technology,5,95,3.35,17,9,44,85,Low,Pass
ST0071,Information Technology,8,73,2.79,13,5,32,68,Medium,Fail
ST0072,Data Science,4,62,1.88,12,5,20,22,High,Fail
ST0073,Data Science,6,74,2.89,15,8,36,58,Medium,Fail
ST0074,Software Engineering,3,93,3.38,17,9,41,98,Low,Pass
ST0075,Software Engineering,2,100,3.42,20,10,49,84,Low,Pass
ST0076,Computer Science,5,96,3.34,16,10,48,79,Low,Pass
ST0077,Data Science,8,57,1.73,7,5,21,20,High,Fail
ST0078,Data Science,7,70,3.16,14,8,28,71,Low,Fail
ST0079,Information Technology,2,86,3.32,20,9,41,82,Low,Pass
ST0080,Artificial Intelligence,7,59,1.97,8,5,27,34,High,Fail
ST0081,Software Engineering,3,66,2.84,11,6,31,53,Low,Fail
ST0082,Computer Science,5,87,3.33,19,9,49,90,Low,Pass
ST0083,Information Technology,5,94,3.76,19,8,50,82,Low,Pass
ST0084,Computer Science,2,71,2.68,13,6,33,71,Low,Fail
ST0085,Artificial Intelligence,8,94,3.68,20,9,47,78,Low,Pass
ST0086,Artificial Intelligence,7,73,2.75,17,8,27,64,Low,Fail
ST0087,Information Technology,8,65,2.38,10,7,26,69,Low,Fail
ST0088,Artificial Intelligence,7,73,2.46,16,8,27,60,Medium,Fail
ST0089,Data Science,1,68,3.06,15,8,40,54,Medium,Fail
ST0090,Data Science,8,93,3.46,19,10,40,96,Low,Pass
ST0091,Software Engineering,1,96,3.7,19,10,47,99,Low,Pass
ST0092,Information Technology,1,89,3.94,19,10,47,78,Low,Pass
ST0093,Computer Science,8,62,1.63,5,5,21,27,Medium,Fail
ST0094,Software Engineering,8,69,2.74,14,7,38,71,Medium,Fail
ST0095,Information Technology,6,69,2.64,12,5,33,69,Medium,Fail
ST0096,Software Engineering,8,85,3.43,18,10,49,96,Low,Pass
ST0097,Information Technology,4,80,2.61,16,8,35,72,Low,Pass
ST0098,Computer Science,8,78,2.34,17,8,37,66,Low,Fail
ST0099,Software Engineering,1,95,3.9,19,8,48,89,Low,Pass
ST0100,Information Technology,6,69,2.37,14,7,37,65,Low,Fail
ST0101,Computer Science,4,75,2.86,17,5,27,52,Medium,Pass
ST0102,Computer Science,1,68,2.98,11,8,30,67,Medium,Fail
ST0103,Software Engineering,3,66,2.56,15,8,29,52,Medium,Fail
ST0104,Data Science,4,97,3.7,17,9,49,79,Low,Pass
ST0105,Data Science,2,79,2.53,10,8,34,66,Low,Pass
ST0106,Data Science,7,58,1.74,11,4,27,29,Medium,Fail
ST0107,Artificial Intelligence,7,97,3.66,20,9,44,75,Low,Pass
ST0108,Software Engineering,6,86,3.93,19,9,43,94,Low,Pass
ST0109,Information Technology,1,84,2.52,12,5,26,54,Medium,Pass
ST0110,Information Technology,3,69,2.38,14,7,38,50,Low,Fail
ST0111,Computer Science,6,51,1.92,9,3,24,35,High,Fail
ST0112,Artificial Intelligence,1,67,2.43,13,8,36,47,Medium,Fail
ST0113,Computer Science,8,79,2.63,14,8,36,48,Low,Pass
ST0114,Computer Science,7,82,2.59,13,5,39,74,Medium,Pass
ST0115,Data Science,3,86,3.44,19,8,41,82,Low,Pass
